Date,residul
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,-189224.21614583328
2016-08-01,-51723.71614583333
2016-09-01,-6186.320312500022
2016-10-01,75579.72135416666
2016-11-01,-13494.778645833263
2016-12-01,85486.48177083334
2017-01-01,66667.0755208334
2017-02-01,28405.42968750003
2017-03-01,7838.971354166642
2017-04-01,15738.700520833332
2017-05-01,9162.804687499927
2017-06-01,5219.929687499971
2017-07-01,88215.70052083334
2017-08-01,13552.992187499985
2017-09-01,-5908.695312500022
2017-10-01,-35120.57031249997
2017-11-01,-17375.69531249995
2017-12-01,-68651.76822916666
2018-01-01,-26284.341145833285
2018-02-01,-20013.32031250003
2018-03-01,3635.2213541667006
2018-04-01,22875.783854166704
2018-05-01,15887.929687500044
2018-06-01,22394.8880208334
2018-07-01,98732.57552083346
2018-08-01,49089.53385416673
2018-09-01,39822.34635416672
2018-10-01,21808.59635416672
2018-11-01,73706.97135416663
2018-12-01,41817.02343749997
2019-01-01,-82512.67447916666
2019-02-01,-48595.94531249997
2019-03-01,-43766.2786458333
2019-04-01,-53083.54947916667
2019-05-01,-38607.445312499956
2019-06-01,-23104.111979166715
2019-07-01,6241.117187499971
2019-08-01,-6953.632812500015
2019-09-01,-23762.153645833278
2019-10-01,-58302.57031250003
2019-11-01,-38871.32031250001
2019-12-01,-54686.55989583334
2020-01-01,46095.11718750003
2020-02-01,44169.01302083334
2020-03-01,36257.26302083333
2020-04-01,18434.24218750002
2020-05-01,17521.888020833358
2020-06-01,-545.528645833343
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
