Date,seasonal
2016-01-01,-136936.3211805555
2016-02-01,-200549.4878472222
2016-03-01,-63988.1024305555
2016-04-01,1289.3871527777906
2016-05-01,65034.564236111044
2016-06-01,94969.31423611105
2016-07-01,240204.40798611107
2016-08-01,112835.58506944448
2016-09-01,25615.30381944445
2016-10-01,-4407.821180555581
2016-11-01,37940.647569444416
2016-12-01,-172007.47743055556
2017-01-01,-136936.3211805555
2017-02-01,-200549.4878472222
2017-03-01,-63988.1024305555
2017-04-01,1289.3871527777906
2017-05-01,65034.564236111044
2017-06-01,94969.31423611105
2017-07-01,240204.40798611107
2017-08-01,112835.58506944448
2017-09-01,25615.30381944445
2017-10-01,-4407.821180555581
2017-11-01,37940.647569444416
2017-12-01,-172007.47743055556
2018-01-01,-136936.3211805555
2018-02-01,-200549.4878472222
2018-03-01,-63988.1024305555
2018-04-01,1289.3871527777906
2018-05-01,65034.564236111044
2018-06-01,94969.31423611105
2018-07-01,240204.40798611107
2018-08-01,112835.58506944448
2018-09-01,25615.30381944445
2018-10-01,-4407.821180555581
2018-11-01,37940.647569444416
2018-12-01,-172007.47743055556
2019-01-01,-136936.3211805555
2019-02-01,-200549.4878472222
2019-03-01,-63988.1024305555
2019-04-01,1289.3871527777906
2019-05-01,65034.564236111044
2019-06-01,94969.31423611105
2019-07-01,240204.40798611107
2019-08-01,112835.58506944448
2019-09-01,25615.30381944445
2019-10-01,-4407.821180555581
2019-11-01,37940.647569444416
2019-12-01,-172007.47743055556
2020-01-01,-136936.3211805555
2020-02-01,-200549.4878472222
2020-03-01,-63988.1024305555
2020-04-01,1289.3871527777906
2020-05-01,65034.564236111044
2020-06-01,94969.31423611105
2020-07-01,240204.40798611107
2020-08-01,112835.58506944448
2020-09-01,25615.30381944445
2020-10-01,-4407.821180555581
2020-11-01,37940.647569444416
2020-12-01,-172007.47743055556
